id,rating,sentiment_label,sentiment_score,verbatim,manual_label,justification_courte
362,1,Négatif,0.41,"Mauvaise expérience et service client déplorable - J’ai effectué une commande, devant arriver le 25 mars... 1er avril: toujours rien. Je contacté le service client qui m'assure que le colis partira dans la journée... 2 avril: pas de notification, pas de colis parti... je recontacte le service client qui cette fois me dit: on ne sait pas c’est de la faute du fournisseur...
Faut savoir a un moment donné si ça part ou si on sait pas quand ca part...
Sachant que le 25 mars ils vous envoient un mail pour vous annoncer que le colis est en retard mais que le retard sera de moins d’une semaine... bref, service client qui vous ment et qui vous balade...
Commande n°343336743",Négatif,Signal négatif fort: 'service client déplorable'
280,1,Neutre,0.46,"Déception - J’ai effectué une commande sur Showroom le 21/04/26 celle ci aurait du arriver le 25/04/26 en point relais et à ce jour le 27/04/26 ma commande n’a toujours pas été traitée et expédiée,le service client téléphonique toujours pareil les mêmes réponses:Ce n’est pas de notre ressort ce sont nos prestataires….Au téléphone ce matin la dame parler comme un robot et très expéditif.
C’est honteux vue les tarifs de livraison qui sont très élevés,on ne m’a proposé aucun geste commercial ni même le remboursement de la livraison,ce n’est pas normal!
De plus comme j’ai expliqué à cette dame au téléphone:si je n’avais pas appelé et écris au service client,personne chez Showroom ne m’aurait prévenu du retard de ma commande où d’un éventuel problème.
Cette dame m’a répondu:C’est vous qui êtes responsable de vos commandes.
Je n’ai jamais vue et entendu cela de ma vie depuis le temps que je commande en ligne.
Je suis cliente fidèle et de longue date chez Shwooroom et je constate que depuis quelques temps il y a beaucoup de problèmes de ce genre qui arrive et répétitif.
J’avais dit que je ne commanderais plus chez eux et je suis revenu sur ma décision car il est vrai que mis à part tout ces problèmes ils ont tout de même de belles ventes à des tarifs attractif mais c’est vraiment dommage.
Commander avec l’angoisse de ne pas recevoir ta commande car cela aussi est déjà arriver,une commande stipulé livré alors qu’elle ne met jamais parvenu.
Qu’elle angoisse ne pas être sur de recevoir sa commande,qu’elle soit en retard,aucun remboursement des frais de ports élevé,un service client téléphonique expéditif limite ont dérange,d’où le fait d’avoir attendu deux jours avant d’appeler,bref une angoisse pour tout alors que cela devrait être un plaisir.",Négatif,Signal négatif fort: 'honteux'
332,1,Négatif,0.47,A fuir - Retard de livraison et article trop mal taillé ....,Négatif,Déception/problème: 'retard'
876,4,Neutre,0.47,"Très bon site et service client au top - Cliente depuis plusieurs années, je suis satisfaite de mes achats sur le site. Les livraisons arrivent en temps voulu et si les articles ne conviennent pas, le remboursement est rapide. Je conseille showroomprivé
pour la qualité des services quels qu'ils soient.",Positif,Signal positif fort: 'service client au top'
299,1,Neutre,0.48,"Cliente depuis de nombreuses années…au revoir .... non adieu - Cliente depuis de nombreuses années, j'ai toujours était satisfaite par Showroom privé sauf sur ma dernière commande du 24/03 d'un montant de 169.77€ payé par carte cadeau de 80€ et par CB de 89.77€.
Lors de l'ouverture de mon colis il y a 2 erreurs : La première ce n'est pas le bon article et la seconde ce n'est pas la bonne taille, je contacte le service client, qui m'indique que ces articles ne sont plus disponibles, qu’un retour est possible et qu'un remboursement monétaire aura lieu.
J'imprime les documents de retours, je m’embête à empaqueter individuellement les colis (car 2 retours sinon c'est pas drôle !), j'apporte ceci au point relais (au prix du carburant actuellement c'est le top !) Les colis arrivent au bout d'une semaine et surprise : je reçois en guise de remboursement des cartes cadeaux ! Je contacte le service client qui m'indique qu'il s'agit des CGV et que c'est comme ça. Je leur signale que l'erreur vient de chez eux, que je n'ai pas à subir l’incompétence du préparateur de commande qui au passage devrait consulter un ophtalmo ... On me propose de me contacter par le service client afin de peut être trouver uns solution car la personne n'avait plus d'arguments. Au bout de 3 jours, je reçois un appel d'une personne qui avait appris par cœur son argumentaire commercial qui était désolée mais qui m'indiquait que je devais avoir connaissance des CGV, qu'elle ne pouvait rien faire pour moi a part un bon d'achat que j'ai refusé par principe sans même en connaitre le montant.
La carte cadeau ne m'a pas été offerte par showroom privé qui s'approprie selon moi ce montant, après utilisation des 2 cartes de cadeaux de remboursement ( qui d’ailleurs ne sont même pas cumulables pour une seule commande : la grosse blague !) je supprimerai mon compte définitivement, et j'irais voir la concurrence, en faisant au passage une très mauvaise réputation à Showroomprivé.",Négatif,Signal négatif fort: 'très mauvais'
529,2,Neutre,0.48,"Beaucoup de retard de livraison et en plus il a fallu que je récupère mon colis a 11 km de chez moi
.. très déçu",Négatif,Signal négatif fort: 'très déçu'
598,2,Neutre,0.48,"Frais de livraison hors de prix et service client ""bof"" - Frais de livraison trés elevés mais date non respectée puisque le colis n'a été preparée que 2 jours apres la date de livraison la plus tardive annoncée (apres reclamation et finalement livré avec 6jours de retard). De plus, on vous envoie un mail justifiant le retard avec l'excuse des manifestations agricoles alors que celles ci n'ont commencé qu'une semaine plus tard donc, on se moque legerement de vous...!",Négatif,Déception/problème: 'retard'
776,3,Négatif,0.48,"Une semaine de retard, long - Bien reçu mon colis, mais avec une semaine de retard",Neutre,"Avis mixte équilibré, note 3/5"
1037,5,Neutre,0.48,Service client excellent! - J'ai effectué plusieurs commandes chez showroomprive non seulement les prix sont attractifs mais surtout ils ont un service client irréprochable. Il m'est arrivé de devoir les contacter et ils ont systématiquement une solution à proposer une solution adaptée. C'est très appréciable. Super service client comparé à certaines autres marques. Bravo à vous et merci encore,Positif,Signal positif fort: 'excellent'
1193,5,Positif,0.48,"Sérieux et rapide, rien à dire sur,l' article super.",Positif,Signal positif fort: 'rien à dire'
