id,source_company,source_review_id,author,rating,date,verbatim,model_suggested_label,model_confidence,selection_reason,manual_label,label_confidence,issue_type,is_mixed,justification_courte
"1571","www.decathlon.fr","89","Rui Peixe","4","20 mars 2025","Pas mal du tout","Positif","0.64","low_confidence","Positif","Basse","Satisfaction générale","False","Avis positif: expérience globalement satisfaisante, note 4/5."
"1585","www.decathlon.fr","112","Rozenn Leforestier","5","6 mars 2026","Très bon service client","Positif","0.89","positive_rating_negative_terms","Positif","Basse","Service client","False","Avis positif: expérience globalement satisfaisante, note 5/5."
"1623","www.intersport.fr","66","Jonathan","3","5 mai 2026","Livraison avec antivol.","Neutre","0.7","rating_3","Neutre","Basse","Commentaire insuffisant","False","Avis neutre: texte mitigé ou signal insuffisant, note 3/5."
"1626","www.intersport.fr","69","Lesaffre","3","4 mai 2026","De pas ce trompé dans la commande","Neutre","0.57","rating_3|low_confidence","Neutre","Basse","Commentaire insuffisant","False","Avis neutre: texte mitigé ou signal insuffisant, note 3/5."
"1654","www.intersport.fr","19","Jeremy Farges","1","ll y a 4 jours","Trop cher le produit","Négatif","0.83","coverage_fill","Négatif","Basse","Autre","False","Avis négatif: problème dominant (autre) avec note 1/5."
"1692","www.cdiscount.com","57","Crazyjac","3","13 mai 2026","Trop de pièges avec les bonus","Neutre","0.64","rating_3|low_confidence","Neutre","Basse","Commentaire insuffisant","False","Avis neutre: texte mitigé ou signal insuffisant, note 3/5."
"1696","www.cdiscount.com","61","MARIE LAURE DARENNE","3","12 mai 2026","moins de choix qu'auparavant","Neutre","0.7","rating_3","Neutre","Basse","Commentaire insuffisant","False","Avis neutre: texte mitigé ou signal insuffisant, note 3/5."
"1717","www.cdiscount.com","43","gilbert auragnier","2","10 mai 2026","Oups - Bien passer","Négatif","0.72","coverage_fill","Négatif","Basse","Autre","False","Avis négatif: problème dominant (autre) avec note 2/5."
"1718","www.cdiscount.com","39","pierre ARNAUD","2","13 mai 2026","trop de choix","Négatif","0.74","coverage_fill","Négatif","Basse","Autre","False","Avis négatif: problème dominant (autre) avec note 2/5."
"1721","www.cdiscount.com","22","gerard chauvin","1","ll y a 5 jours","Problème connexion avec PayPal","Négatif","0.86","coverage_fill","Négatif","Basse","Autre","False","Avis négatif: problème dominant (autre) avec note 1/5."
