id,source_company,source_review_id,author,rating,date,verbatim,model_suggested_label,model_confidence,manual_label,label_confidence,issue_type,is_mixed,justification_courte
1734,www.darty.com,4,Pierre Berthelier,1,Il y a 9 heures,DARTY une seule fois et une fois de trop arnaques avec le payement en 3 fois il vous impose une société de crédit Sofinco et vous font un crédit renouvelable avec une carte de crédit que vous devez payer la honte pour DARTY moi j'appelle ça de l'arnaque,Négatif,0.93,Négatif,Haute,Paiement / crédit,false,Avis négatif: arnaque perçue et crédit imposé.
1735,www.darty.com,5,Maxence Furnon,1,Il y a un jour,"Très mauvaise expérience avec Darty pour une souscription fibre Bouygues.

Le vendeur nous a affirmé à plusieurs reprises que les 48€ de frais de mise en service seraient remboursés. Nous avons pourtant bien précisé que nous emménagions dans un nouveau logement et que nous n’avions donc aucun ancien numéro fixe à conserver.

Après souscription, Bouygues refuse finalement le remboursement sous prétexte qu’il fallait faire une portabilité du numéro fixe… chose impossible dans notre situation et jamais clairement expliquée par le vendeur.

Résultat : Darty renvoie vers Bouygues, Bouygues renvoie vers Darty, et au final le client se fait balader pendant des heures pour 48€ promis au moment de la vente.

J’ai surtout l’impression qu’on m’a dit ce qu’il fallait pour me faire signer le contrat, sans transparence sur les vraies conditions de l’offre.

Très déçu du manque de sérieux et du service après-vente.",Négatif,0.95,Négatif,Haute,Souscription fibre / remboursement,false,Avis négatif: promesse de remboursement non tenue.
1736,www.darty.com,6,thierry hette,1,Il y a un jour,"A fuite 55€ pour livraison instalation on vous dit que le robinet et défectueux et refuse l'installation alors que le soir même j ai du installer moi même la machine à laver bande d incapable il chercher une excuse et ce barre sans installer
Je doit acheter un sèche linge j irait sur le Web au moi il n y a pas de service mais ce beaucoup moins cher",Négatif,0.94,Négatif,Haute,Livraison / installation,false,Avis négatif: installation refusée et service jugé incapable.
1737,www.darty.com,7,Jean-Paul,1,Il y a un jour,"Vendeurs en magasin incompétent service client lamentable - Vendeurs en magasin incompétents, service client lamentable !!
Aucun moyen de s'arranger quand on est mécontent, alors que j'étais un bon client qui achetait tout dans leurs magasins !!!
Je déconseille, fuyez !!!",Négatif,0.9,Négatif,Haute,Service client,false,Avis négatif: vendeurs et service client critiqués.
1738,www.darty.com,8,Ducoin,1,ll y a 2 jours,Attention si vous avez un appareil en panne chez DARTY - J ai acheté un four en mars 2025 donc encore garanti la porte du four ne se ferme plus j ai téléphoné ils ne se déplacent pas il faut le faire en Visio je lui dis que je suis insensible du côté gauche suite rupture d anévrisme il n a meme pas répondu sauf bon on va commencer j ai raccroché j ai annulé Darty max c est honteux si par hasard ça crée un autre problème on va me répondre que c est moi qui l ai causé fini les marques je préfère acheter chez electro depot moins cher ainsi que l extension de garantie plus que déçue,Négatif,0.93,Négatif,Haute,SAV / garantie,false,Avis négatif: prise en charge SAV jugée honteuse.
1739,www.darty.com,9,catherine z,1,ll y a 2 jours,"SAV lamentable
Darty max est une grosse arnaque
Incompétence totale",Négatif,0.89,Négatif,Haute,SAV / Darty Max,false,Avis négatif: SAV et abonnement qualifiés d’arnaque.
1740,www.darty.com,10,Wolff Michele,1,ll y a 2 jours,"Darty contrat de confiance ??!! - J’ai commandé un lave vaisselle neuf qui m’a été livré le 13 mai.
Le 17, j’ai voulu le mettre en marche mais impossible, code erreur. J’ai donc appelé le SAV lundi 18 mai et la personne a essayé de le dépanner par téléphone mais en vain.
Nouveau rdv téléphonique fixé ce jour 20 mai entre 12 et 13 heures pour savoir si le technicien avait décidé de le changer ou de le réparer. J’ai attendu l’appel et j’ai fini par les appeler, l’heure n’étant absolument pas respectée.
Nouveau diagnostic avec un technicien au bout du fil qui m’affirme que le code erreur A 10 n’existe pas sur mon lave-vaisselle. Preuve à l’appui avec la visio, il a finalement pris une photo.
Un réparateur devait me rappeler ce jour pour convenir d’un rendez-vous, j’attends toujours l’appel.
Lorsque je suis allée chez Darty pour passer la commande,j’étais pratiquement la seule cliente dans le magasin à Saint-Georges des coteaux.
Y aurait t’il un lien avec le dysfonctionnement du « service Après -vente » ?",Négatif,0.95,Négatif,Haute,SAV / produit défectueux,false,Avis négatif: lave-vaisselle neuf en panne et suivi SAV insuffisant.
1741,www.darty.com,11,Chermette Charles,1,ll y a 2 jours,"Pratiques illégales, mensonges et tentative de vol sur Darty Marketplace ! - Expérience scandaleuse. J'achète un réfrigérateur qui m'est livré cassé. Sans oublier le mensonge de Darty au moment de l’achat qui promettait l'inversion de porte uniquement pour pousser à la vente !

Le vendeur (""NouveauxMarchands"") m'annonce ensuite qu'il est en rupture de stock et refuse de me livrer le produit payé. Après une semaine de silence total, ils osent me proposer un remboursement avec une DÉCOTE DE 10% (soit 43,87 € retenus) pour 'frais de retour' !

C’est totalement illégal en droit français (Article L217-4 Code de la Conso) d'imputer des frais de retour au client pour un produit livré endommagé. Darty laisse ses vendeurs partenaires arnaquer les clients en toute impunité. Fuyez la Marketplace Darty !",Négatif,0.95,Négatif,Haute,Marketplace / produit cassé,false,"Avis négatif: produit livré cassé, vendeur en rupture et litige."
1742,www.darty.com,12,celine l,1,ll y a 3 jours,"produit qui ne fonctionne pas correctement - Les commandes sont tactiles et guère performantes, il faut s'y reprendre plusieurs fois pour que ca fonctionne, C'est une grosse déception car à ce prix là ... et nous allons l avoir quelques années malheureusement",Négatif,0.89,Négatif,Haute,Produit défectueux,false,Avis négatif: produit ne fonctionne pas correctement.
1743,www.darty.com,13,Paul DVZ,1,ll y a 3 jours,"Le ""Contrat de Confiance"" est du vent- Darty Créteil - Le ""Contrat de Confiance"" est du vent, méthodes malhonnêtes – Darty Créteil

J’ai acheté un réfrigérateur intégrable Liebherr à 1 600 € au Darty Créteil. Pour m'accorder une remise de 120 €, le vendeur m’a fait souscrire à l'abonnement Darty Max, mais en se gardant bien de me dire qu'il était strictement impossible de l'annuler après. Sur leur site internet, ils mettent en avant les fameux ""15 jours pour changer d'avis"", mais c'est l'arbre qui cache la forêt ! En réalité, cette règle ne s'applique ni à Darty Max ni aux objets ouverts achetés en magasin. On vous fait signer un engagement de 12 mois les yeux fermés derrière une réduction commerciale. Leur fameux ""Contrat de Confiance"" est devenu une simple formule marketing, car sur le terrain, la confiance n'existe plus.

Pour couronner le tout, le SAV sur WhatsApp est d'une mauvaise foi incroyable et vous fait tourner en bourrique pendant des heures. Ils répondent à côté, se contredisent d'un message à l'autre et rallongent les délais uniquement pour vous faire perdre du temps et vous décourager. Ils me sortent des arguments lunaires en disant que la remise et la livraison sont associées à Darty Max. Sauf que la livraison standard est gratuite de base pour tout le monde chez Darty pour ce prix-là ! On essaie de me faire passer un service gratuit pour un cadeau pour mieux me coincer.

Le comble du scandale : la prestation d'encastrement dans la niche m'a bien été facturée en plus, mais les livreurs sont repartis sans la faire. Donc Darty encaisse mon argent pour un service qu'ils ne font pas, et utilise des excuses bidons pour me forcer à garder un abonnement inutile.

J'exige le remboursement de l'encastrement fantôme et l'annulation immédiate de Darty Max. Le service réclamation demande encore 6 jours de délai, j'attends leur appel de pied ferme.",Négatif,0.92,Négatif,Haute,Abonnement / pratique commerciale,false,Avis négatif: abonnement souscrit sans information claire.
