"id","verbatim","rating","manual_label","label_confidence","issue_type","is_mixed","justification_courte"
"0","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"1","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"2","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"3","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"4","si je n'étais pas satisfaite de mes achats son votre site , je ne passerai plus de commande chez vous ! donc tout est ok pour moi !!!puisque je continue","5","Positif","Haute","Avis mixte","True","Corrigé: Négatif → Positif (double négation ou formule positive)"
"5","Super pour les prix, la rapidité de livraison...","5","Positif","Moyenne","Aucun","False","Signal positif: super"
"6","Super expérience et colis bien réceptionné","5","Positif","Haute","Aucun","False","Satisfaction claire: super expérience"
"7","Je n’ai pas toujours pas reçu ma commande donc je ne risque pas de mettre un avis positif.
Et toujours aucune nouvelle de ma réclamation","1","Négatif","Moyenne","Livraison retardée","True","Problème concret: pas reçu"
"8","Facilité de commande, rapidité de livraison ( même plus rapide que la date annoncée) emballage soigné, rien à redire sur le site par contre une des 2 boucles d’oreilles a un défaut de fermeture, c est la première fois que l article que j achète sur ce site n est pas de bonne qualité","4","Positif","Haute","Aucun","False","Satisfaction claire: rien à redire"
"9","Ravie - Je n'ai jamais été déçue de mes commandes sur Showroom privé, qualité, diversité, livraisons rapides, tout y est.","5","Positif","Haute","Avis mixte","True","Corrigé: Négatif → Positif (double négation ou formule positive)"
"10","Très bon produit","5","Positif","Faible","Aucun","False","Note 5/5, satisfaction implicite"
"11","Produit de qualité, explications concernant la taille un peu justes.","4","Positif","Faible","Aucun","False","Note 4/5, satisfaction implicite"
"12","Cela fait deux fois que le livreur livre mon colis dans un point relais, alors que je paie des frais d’envoi afin que je sois livré chez moi…!!
Une meilleure connexion entre showroomprive et le service de livraison serait mieux et surtout professionnel !","2","Négatif","Faible","Livraison retardée","False","Note 2/5, insatisfaction implicite"
"13","Bon rapport qualité prix !","5","Positif","Moyenne","Aucun","False","Signal positif: bon rapport qualité"
"14","Très bien le loker est pratique, produit conforme - Très bien le loker","5","Positif","Moyenne","Aucun","False","Signal positif: pratique"
"15","Produit bien emballé, livraison rapide","5","Positif","Haute","Aucun","False","Satisfaction claire: livraison rapide"
"16","Déçue d un manque d un article faudrait le signaler des la commande pas en dernière minute - Pourquoi lorsque l on valide la commande l article est dispo et en rupture juste avant de recevoir le colis.Pas commercial","3","Négatif","Moyenne","Livraison retardée","False","Signal négatif: déçu"
